 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Circ.,Skew,AR,Round,Solidity
2425,g77_skel.tif,466.001,255,0,255,255,255,439.652,990.142,439.652,990.142,89.286,0.735,NaN,1.202,0.832,0.912
2426,g77_skel.tif,1629.953,255,0,255,255,255,1335.736,1001.613,1335.736,1001.613,178.714,0.641,NaN,1.464,0.683,0.891
2427,g77_skel.tif,516.412,255,0,255,255,255,775.887,990.226,775.887,990.226,95.515,0.711,NaN,1.196,0.836,0.923
2428,g77_skel.tif,1189.458,255,0,255,255,255,1413.305,995.766,1413.305,995.766,141.130,0.750,NaN,1.081,0.925,0.947
2429,g77_skel.tif,894.494,255,0,255,255,255,1846.049,993.707,1846.049,993.707,123.867,0.733,NaN,1.751,0.571,0.923
2430,g77_skel.tif,44.710,255,0,255,255,255,392.206,985.491,392.206,985.491,32.115,0.545,NaN,2.488,0.402,0.766
2431,g77_skel.tif,373.281,255,0,255,255,255,936.169,991.924,936.169,991.924,79.435,0.743,NaN,1.203,0.831,0.929
2432,g77_skel.tif,583.626,255,0,255,255,255,1922.416,996.495,1922.416,996.495,117.981,0.527,NaN,1.122,0.891,0.731
2433,g77_skel.tif,209.445,255,0,255,255,255,1988.874,989.814,1988.874,989.814,59.628,0.740,NaN,1.599,0.626,0.904
2434,g77_skel.tif,274.259,255,0,255,255,255,794.670,995.457,794.670,995.457,70.560,0.692,NaN,1.698,0.589,0.930
2435,g77_skel.tif,755.864,255,0,255,255,255,1752.592,1000.043,1752.592,1000.043,111.761,0.760,NaN,1.821,0.549,0.961
2436,g77_skel.tif,340.874,255,0,255,255,255,1813.872,994.530,1813.872,994.530,95.162,0.473,NaN,1.040,0.962,0.873
2437,g77_skel.tif,1577.142,255,0,255,255,255,513.737,1011.057,513.737,1011.057,181.294,0.603,NaN,2.569,0.389,0.930
2438,g77_skel.tif,654.742,255,0,255,255,255,1550.635,997.205,1550.635,997.205,105.618,0.738,NaN,1.416,0.706,0.924
2439,g77_skel.tif,1825.896,255,0,255,255,255,1625.729,1013.378,1625.729,1013.378,188.730,0.644,NaN,1.615,0.619,0.895
2440,g77_skel.tif,153.633,255,0,255,255,255,382.869,989.522,382.869,989.522,48.438,0.823,NaN,1.156,0.865,0.935
2441,g77_skel.tif,866.288,255,0,255,255,255,1052.728,1001.189,1052.728,1001.189,116.033,0.809,NaN,1.187,0.843,0.952
2442,g77_skel.tif,241.252,255,0,255,255,255,1789.884,994.249,1789.884,994.249,63.024,0.763,NaN,1.726,0.579,0.933
2443,g77_skel.tif,850.984,255,0,255,255,255,564.700,1000.056,564.700,1000.056,119.031,0.755,NaN,1.092,0.916,0.916
2444,g77_skel.tif,333.672,255,0,255,255,255,917.465,995.799,917.465,995.799,72.862,0.790,NaN,1.188,0.842,0.941
2445,g77_skel.tif,844.083,255,0,255,255,255,1883.553,1000.301,1883.553,1000.301,120.149,0.735,NaN,1.152,0.868,0.922
2446,g77_skel.tif,331.272,255,0,255,255,255,1941.120,999.114,1941.120,999.114,72.985,0.781,NaN,1.498,0.668,0.945
2447,g77_skel.tif,1032.524,255,0,255,255,255,647.116,1008.907,647.116,1008.907,133.530,0.728,NaN,1.504,0.665,0.921
2448,g77_skel.tif,395.186,255,0,255,255,255,422.192,1000.727,422.192,1000.727,79.967,0.777,NaN,1.617,0.618,0.952
2449,g77_skel.tif,659.543,255,0,255,255,255,706.198,1006.619,706.198,1006.619,105.398,0.746,NaN,1.304,0.767,0.925
2450,g77_skel.tif,326.771,255,0,255,255,255,1026.692,997.475,1026.692,997.475,71.688,0.799,NaN,1.183,0.845,0.955
2451,g77_skel.tif,334.873,255,0,255,255,255,541.842,1005.492,541.842,1005.492,82.314,0.621,NaN,1.950,0.513,0.921
2452,g77_skel.tif,718.656,255,0,255,255,255,620.241,1002.965,620.241,1002.965,107.035,0.788,NaN,1.204,0.830,0.952
2453,g77_skel.tif,620.835,255,0,255,255,255,756.705,1003.221,756.705,1003.221,100.209,0.777,NaN,1.354,0.739,0.937
2454,g77_skel.tif,5.401,255,0,255,255,255,2002.356,989.142,2002.356,989.142,8.389,0.965,NaN,1.307,0.765,0.857
2455,g77_skel.tif,60.913,255,0,255,255,255,1977.583,993.877,1977.583,993.877,36.465,0.576,NaN,3.497,0.286,0.919
2456,g77_skel.tif,169.837,255,0,255,255,255,1972.743,1001.018,1972.743,1001.018,54.980,0.706,NaN,2.106,0.475,0.936
2457,g77_skel.tif,75.316,255,0,255,255,255,370.548,995.818,370.548,995.818,33.266,0.855,NaN,1.175,0.851,0.979
2458,g77_skel.tif,626.536,255,0,255,255,255,401.561,1007.572,401.561,1007.572,99.843,0.790,NaN,1.399,0.715,0.924
2459,g77_skel.tif,595.629,255,0,255,255,255,1707.223,1008.553,1707.223,1008.553,104.014,0.692,NaN,1.567,0.638,0.912
2460,g77_skel.tif,1923.417,255,0,255,255,255,1259.949,1025.328,1259.949,1025.328,180.451,0.742,NaN,1.317,0.759,0.908
2461,g77_skel.tif,147.932,255,0,255,255,255,384.336,1003.491,384.336,1003.491,51.271,0.707,NaN,1.633,0.612,0.948
2462,g77_skel.tif,717.756,255,0,255,255,255,670.734,1017.805,670.734,1017.805,124.710,0.580,NaN,2.362,0.423,0.889
